Time  [ms],Min,Memory Usage [KB],CPU Frequency,CPU Load,Wi-Fi State,Wi-Fi RSSI Level [-dBm],Screen Bright,Battery,GPS State,Download,Upload,Quality,,,,,,,
720053,00:12:00,1768940,902000,40,3,-63,4,69,1,820,11,720,,,,,,,
730047,00:12:10,1816052,1014000,40,3,-63,4,69,1,820,11,720,,,,,,,
740084,00:12:20,1812856,1586000,40,3,-63,4,69,1,820,11,720,,,,,,,
750077,00:12:30,1822208,902000,40,3,-63,4,69,1,820,11,720,,,,,,,
760074,00:12:40,1822716,1014000,40,3,-63,4,69,1,820,11,720,,,,,,,
770066,00:12:50,1793696,546000,40,3,-63,4,69,1,820,11,720,,,,,,,
780059,00:13:00,1823472,1248000,40,3,-64,4,69,1,820,11,720,,,,,,,
790053,00:13:10,1807536,902000,40,3,-63,4,69,1,820,11,720,,,,,,,
800091,00:13:20,1824048,1248000,40,3,-63,4,69,1,820,11,720,,,,,,,
810082,00:13:30,1797584,1248000,40,3,-64,4,68,1,820,11,720,,,,,,,
820073,00:13:40,1796280,1586000,40,3,-57,4,68,1,820,11,720,,,,,,,
830062,00:13:50,1777240,1144000,40,3,-64,4,68,1,820,11,720,,,,,,,
840049,00:14:00,1819472,1248000,40,3,-61,4,68,1,820,11,720,,,,,,,
850084,00:14:10,1817856,1352000,40,3,-66,4,68,1,820,11,720,,,,,,,
860073,00:14:20,1808320,1248000,40,3,-66,4,68,1,820,11,720,,,,,,,
870061,00:14:30,1823692,1248000,40,3,-55,4,68,1,820,11,720,,,,,,,
